Project Number,Legacy Project Number,City,County,State,Zip Code,Sector,Electric Utility,Purchase Type,Date Application Received,Date Completed,Project Status,Contractor,Primary Inverter Manufacturer,Primary Inverter Model Number,Total Inverter Quantity,Primary PV Module Manufacturer,PV Module Model Number,Total PV Module Quantity,Project Cost,$Incentive,Total Nameplate kW DC,Expected KWh Annual Production,Georeference
237447,,Brooklyn,Kings,NY,11203,Residential,Consolidated Edison,Purchase,02/21/2020,,Pipeline,,SMA America,SB6.0-1SP-US-41 [208V],1,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,22,46150.59,764,6.82,5158,POINT (-73.933487 40.649707)
38096,4704-68534,Elmont,Nassau,NY,11003,Residential,Long Island Power Authority,Lease,07/08/2015,11/05/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,28,40768,844,7.28,7291,POINT (-73.705417 40.699473)
289412,,Queens,Queens,NY,11413,Residential,Consolidated Edison,Purchase,01/30/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,LG Electronics Inc.,LG350N1C-V5,14,23805.25,539,4.9,3612,POINT (-73.750319 40.672267)
192111,,Brooklyn,Kings,NY,11229,Residential,Consolidated Edison,Lease,07/09/2019,07/24/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3000H-US [240V],1,REC Solar,REC290TP2 BLK,9,12640,783,2.61,2973,POINT (-73.943351 40.600494)
184703,,Queens,Queens,NY,11434,Residential,Consolidated Edison,Purchase,05/03/2019,06/21/2019,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],15,LG Electronics Inc.,LG335N1C-A5,15,19296,1025,5.03,4588,POINT (-73.775656 40.676003)
241253,,Queens,Queens,NY,11422,Residential,Consolidated Edison,Purchase,03/20/2020,06/26/2020,Complete,Kamtech Restoration Corp,SunPower,SPR-E20-327-E-AC [208V],8,Sunpower,SPR-E20-327-E-AC,8,18288,523,2.62,3056,POINT (-73.73468 40.663668)
8049,5159-69275,Westbury,Nassau,NY,11568,Residential,Long Island Power Authority,Power Purchase Agreement,08/12/2015,02/12/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG300N1C-B3,10,15300,444,3,3775,POINT (-73.597376 40.783995)
238919,,Massapequa Park,Nassau,NY,11762,Residential,Long Island Power Authority,Purchase,03/03/2020,04/07/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],19,"S-Energy Co., Ltd.",SN310M-10T,19,24401.41,,5.89,7456,POINT (-73.44727 40.683691)
237865,,Sleepy Hollow,Westchester,NY,10591,Residential,Consolidated Edison,Lease,03/13/2020,08/14/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],9,LG Electronics Inc.,LG345N1C-V5,9,10358,621,3.11,3188,POINT (-73.855087 41.078061)
167843,,Staten Island,Richmond,NY,10308,Residential,Consolidated Edison,Purchase,01/03/2019,01/28/2019,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE6000H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,17,26064,964,5.95,4323,POINT (-74.150769 40.551772)
270697,,Islip Terrace,Suffolk,NY,11752,Residential,Long Island Power Authority,Purchase,10/14/2020,01/13/2021,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],40,Solaria Corporation,Solaria PowerXT-370R-PD,40,42512,,14.8,12156,POINT (-73.182662 40.755051)
160600,,Queens,Queens,NY,11428,Residential,Consolidated Edison,Lease,11/30/2018,12/12/2018,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [208V],11,Trina Solar,TSM-280DD05A.05(II),11,11260.48,924,3.08,3418,POINT (-73.742105 40.721391)
231398,,Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,02/18/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],23,"S-Energy Co., Ltd.",SN370M-10T,23,32656,,8.51,9220,POINT (-73.460296 40.682417)
89007,,Mineola,Nassau,NY,11510,Residential,Long Island Power Authority,Purchase,06/27/2017,10/17/2018,Complete,Sunrise Energy Corp.,Enphase Energy,M215-60-2LL-S2x-IG-NA (240V),31,Hyundai Heavy Industries Green Energy Co.,HiS-S260RG(BK),31,35440,,8.06,9375,POINT (-73.609748 40.654614)
126664,,Yonkers,Westchester,NY,10710,Residential,Consolidated Edison,Lease,06/22/2018,08/14/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,11,12752,624,3.85,2755,POINT (-73.846594 40.965905)
7545,4968-63678,Kings Park,Suffolk,NY,11754,Residential,Long Island Power Authority,Power Purchase Agreement,05/27/2015,11/03/2015,Complete,Trinity Solar (dba for Trinity Heating and Air),SolarEdge Technologies,SE5000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.08,21,16298.99,863,5.46,5749,POINT (-73.24573 40.885947)
281309,,Hastings-on-Hudson,Westchester,NY,10706,Residential,Consolidated Edison,Lease,01/15/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],11,LG Electronics Inc.,LG345N1C-V5,11,11636,440,3.8,2874,POINT (-73.871356 40.98969)
2475,142-2,LaFargeville,,NY,13656,Non-Residential,National Grid,,07/07/2011,07/07/2011,Complete,"Fourth Coast, Inc",SMA America,SB7000US (240V),1,Sharp,ND-230QCJ,33,,,7.59,9104,POINT (-75.949271 44.194059)
266166,,Bronx,Bronx,NY,10469,Residential,Consolidated Edison,Purchase,11/05/2020,01/12/2021,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],12,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,12,49725,768,3.84,4020,POINT (-73.847397 40.86878)
158616,,Queens,Chenango,NY,11413,Residential,Consolidated Edison,Lease,10/18/2018,12/24/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,LG Electronics Inc.,LG330N1C-A5,12,18897,927,3.96,4144,POINT (-73.750319 40.672267)
263770,,Brooklyn,Kings,NY,11212,Residential,Consolidated Edison,Purchase,09/19/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],10,"S-Energy Co., Ltd.",SN310M-10T,10,40300,620,3.1,3475,POINT (-73.913254 40.661868)
262235,,Bronx,Bronx,NY,10461,Residential,Consolidated Edison,Power Purchase Agreement,09/12/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],10,LG Electronics Inc.,LG350N1C-V5,10,14140,700,3.5,4167,POINT (-73.840311 40.846823)
175253,,Deer Park,Suffolk,NY,11729,Residential,Long Island Power Authority,Purchase,02/12/2019,06/06/2019,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE7600H-US [240V],1,"S-Energy Co., Ltd.",SN360M-10,22,28432.8,,7.92,8089,POINT (-73.326213 40.761014)
262597,,Cambria Heights,Queens,NY,11411,Residential,Consolidated Edison,Purchase,09/15/2020,12/02/2020,Complete,SUNCO CAPITAL LLC,Enphase Energy Inc.,IQ7-60-x-ACM-US [208V],13,"S-Energy Co., Ltd.",SN310M-10T,13,38087,806,4.03,3906,POINT (-73.736117 40.694354)
126882,,Feura Bush,Albany,NY,12067,Residential,National Grid,Power Purchase Agreement,06/26/2018,08/07/2018,Complete,Vivint Solar Development LLC,Enphase Energy Inc.,IQ6-60-x-US [240V],9,"JA Solar Technology Co, Ltd",JAM60S02-290/PR,9,7536.3,420,2.61,1600,POINT (-73.919858 42.562255)
290776,,Brooklyn,Kings,NY,11233,Residential,Consolidated Edison,Purchase,02/12/2021,,Pipeline,,SMA America,SB3.8-1SP-US-40 [208V],1,LG Electronics Inc.,LG375Q1C-V5,8,26837,600,3,3606,POINT (-73.919096 40.67783)
252459,,Staten Island,Richmond,NY,10306,Residential,Consolidated Edison,Lease,07/15/2020,08/20/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],15,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-305M,15,14141.99,915,4.58,4728,POINT (-74.11862 40.568821)
263840,,Brooklyn,Kings,NY,11210,Residential,Consolidated Edison,Power Purchase Agreement,09/22/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],10,LG Electronics Inc.,LG350N1C-V5,10,12915,700,3.5,3545,POINT (-73.946445 40.627743)
2014-665373-Sola,,East Moriches,Suffolk,NY,11940,Residential,Long Island Power Authority,Purchase,08/07/2014,10/08/2014,Complete,EASTERN ENERGY SYSTEMS INC,SMA America,,1,Kyocera So,,10,10742.55,872.78,2.5,2935,POINT (-72.755576 40.810652)
259437,,Rosedale,Queens,NY,11422,Residential,Consolidated Edison,Power Purchase Agreement,09/10/2020,10/23/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],9,LG Electronics Inc.,LG350N1C-V5,9,9859.49,630,3.15,3460,POINT (-73.73468 40.663668)
128720,,Staten Island,Richmond,NY,10312,Residential,Consolidated Edison,Lease,07/10/2018,08/24/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,13,19750,737,4.55,3292,POINT (-74.178263 40.542961)
74742,,Queens,New York,NY,11413,Residential,Consolidated Edison,Power Purchase Agreement,11/23/2016,09/15/2017,Complete,Level Solar,SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,LG Electronics,LG315N1C-G4,18,27663.93,,5.67,7274,POINT (-73.750319 40.672267)
291413,,Little Neck,Queens,NY,11363,Residential,Consolidated Edison,Lease,02/10/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],12,JA Solar,JAM60S10-340/MR,12,8900,473,4.08,3238,POINT (-73.746615 40.773346)
243124,,St Albans,Queens,NY,11412,Residential,Consolidated Edison,Purchase,04/04/2020,10/30/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],11,REC Solar,REC310TP2M,11,14932,682,3.41,4006,POINT (-73.759234 40.698064)
229912,,Glen Cove,Nassau,NY,11542,Residential,Long Island Power Authority,Purchase,01/08/2020,03/11/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],15,"S-Energy Co., Ltd.",SN370M-10(B),15,23710.3,,5.55,7190,POINT (-73.627739 40.867396)
223030,,Jamaica,Queens,NY,11427,Residential,Consolidated Edison,Power Purchase Agreement,11/22/2019,01/28/2020,Complete,"IGS Solar, LLC",Enphase Energy Inc.,IQ7PLUS-72-x-US [208V],10,LG Electronics Inc.,LG345N1C-V5,10,11695.51,662,3.45,3000,POINT (-73.749551 40.729539)
153424,,Thiells,Rockland,NY,10923,Residential,Orange and Rockland Utilities,Purchase,09/26/2018,01/24/2019,Complete,Trinity Solar (dba for Trinity Heating and Air),SolarEdge Technologies Ltd.,SE3000H-US [240V],1,Hanwha Q Cells,Q.PEAK BLK-G4.1 295,10,13127,1032,2.95,3761,POINT (-74.001137 41.203666)
250914,,Levittown,Nassau,NY,11756,Residential,Long Island Power Authority,Purchase,06/19/2020,07/20/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],27,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,27,41636.03,,9.18,9423,POINT (-73.517198 40.725845)
8626,5209-78087,Wantagh,Nassau,NY,11793,Residential,Long Island Power Authority,Lease,10/16/2015,11/16/2016,Complete,SunRun Inc.,SolarEdge Technologies,SE 7600A-US (240V),1,Renesola America,JC260M-24/Bxh,28,24113,1034,7.28,7260,POINT (-73.510289 40.683611)
40395,5293-86313-GJ,Northport,Suffolk,NY,11768,Residential,Long Island Power Authority,Purchase,01/11/2016,10/31/2016,Complete,Direct Energy Solar (formerly Astrum),Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (208V),18,LG Electronics Solar Cell Division,LG300A1C-B3,18,21206,756,5.4,5912,POINT (-73.325918 40.90693)
274872,,Queens,Queens,NY,11356,Residential,Consolidated Edison,Purchase,11/21/2020,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],15,LG Electronics Inc.,LG345N1C-V5,15,20785,1035,5.18,5453,POINT (-73.843534 40.785519)
56549,4704-70638,Peekskill,Westchester,NY,10566,Residential,Consolidated Edison,Lease,08/06/2015,01/27/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 265,9,13356,818,2.39,2911,POINT (-73.917154 41.289818)
163315,,Warwick,Orange,NY,10990,Residential,Orange and Rockland Utilities,Lease,11/20/2018,01/16/2019,Complete,Sunnova Energy Corp.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q Cells,Q.PEAK DUO BLK-G5 315,13,12694.5,989,4.1,3522,POINT (-74.365461 41.263165)
2141,17942-34,Bocieville,,NY,12412,Residential,Central Hudson Gas and Electric,,12/12/2011,12/12/2011,Complete,Hudson Valley Clean Energy,SunPower,SPR-7000m (240V),2,SunPower,SPR-230E-WHT-D,50,,,11.5,10375,POINT (-74.270446 42.004854)
251943,,Tuckahoe,Westchester,NY,10707,Residential,Consolidated Edison,Purchase,07/04/2020,10/09/2020,Complete,SunRun Inc.,Enphase Energy Inc.,IQ7-60-x-US [240V],9,LG Electronics Inc.,LG330N1C-A5,9,11687.96,594,2.97,3474,POINT (-73.823004 40.95945)
81100,,Troy,Rensselaer,NY,12180,Residential,National Grid,Power Purchase Agreement,07/27/2017,08/07/2017,Complete,Tesla Energy Operations Inc.,Delta Electronics,SOLIVIA 3.8 NA G4 TL (240V),1,Hanwha Q CELLS,Q.PEAK G4.1/SC 300,10,12780,864,3,2879,POINT (-73.637848 42.736751)
219814,,Bronx,Bronx,NY,10473,Residential,Consolidated Edison,Purchase,11/02/2019,02/20/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],9,LG Electronics Inc.,LG335N1C-A5,9,14291.1,905,3.02,3920,POINT (-73.856919 40.819283)
65548,4154-0264-Financing,Sayville,Suffolk,NY,11782,Residential,Long Island Power Authority,Purchase,07/28/2016,11/10/2016,Complete,Green Logic LLC,SMA America,SB6000TL-US-22 (240V) (240V),2,SunPower,SPR-E20-327,36,45677,,11.77,10368,POINT (-73.080099 40.735726)
2259,17946-27,Johnstown,,NY,12095,Residential,National Grid,,09/21/2011,09/21/2011,Complete,Tesla Energy Operations Inc.,Fronius USA,IG 4000 NEG,2,Yingli Energy (China),YL230P-29b,28,,,6.44,7141,POINT (-74.394891 43.023495)
89712,,Hollis,Queens,NY,11423,Residential,Consolidated Edison,Power Purchase Agreement,07/20/2017,09/13/2017,Complete,SunRun Inc.,SolarEdge Technologies,SE3000 (240V),1,LG Electronics,LG315N1C-G4,8,10216.08,1008,2.52,3199,POINT (-73.76856 40.716566)
266101,,Yonkers,Westchester,NY,10701,Residential,Consolidated Edison,Lease,10/29/2020,,Pipeline,,Enphase Energy Inc.,IQ7-60-x-US [240V],14,"LONGi Green Energy Technology Co., Ltd.",LR6-60HPB-310M,14,13744,564,4.34,3852,POINT (-73.881102 40.944049)
264433,,Baldwin,Nassau,NY,11510,Residential,Long Island Power Authority,Purchase,09/23/2020,12/11/2020,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],14,Solaria Corporation,Solaria PowerXT-370R-PD,14,20253,,5.18,5736,POINT (-73.609748 40.654614)
129016,,White Plains,Westchester,NY,10603,Residential,Consolidated Edison,Purchase,07/07/2018,10/26/2018,Complete,Infinity Solar Systems LLC,SunPower,SPR-X22-360-D-AC [240V],12,Sunpower,SPR-X22-360-D-AC,12,18360,1011,4.32,4428,POINT (-73.777471 41.054753)
287120,,Queens,Queens,NY,11434,Residential,Consolidated Edison,Lease,01/29/2021,,Pipeline,,Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],17,JA Solar,JAM60S10-340/MR,17,11791,717,5.78,4854,POINT (-73.775656 40.676003)
128055,,Kew Gardens,Queens,NY,11415,Residential,Consolidated Edison,Purchase,07/03/2018,08/03/2018,Complete,SunRun Inc.,SolarEdge Technologies Ltd.,SE5000H-US [240V],1,LG Electronics Inc.,LG350Q1C-A5,16,26016,1008,5.6,4518,POINT (-73.829763 40.708934)
62649,4154-92812-GJ,Seaford,Nassau,NY,11783,Residential,Long Island Power Authority,Purchase,03/10/2016,11/29/2016,Complete,Green Logic LLC,SMA America,SB5000TL-US-22 (240V),1,SunPower,SPR-E20-327,14,19611,696,4.58,4906,POINT (-73.491332 40.67888)
46390,5098-82237,Amityville,Suffolk,NY,11701,Residential,Long Island Power Authority,Lease,11/30/2015,05/31/2016,Complete,NRG Residential Solar Solutions,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),18,LG Electronics Solar Cell Division,LG275S1C-G4,18,16951.55,990,4.95,5751,POINT (-73.414186 40.686478)
81715,,Shelter Island,Suffolk,NY,11964,Residential,Long Island Power Authority,Purchase,03/08/2017,06/16/2017,Complete,Green Logic LLC,SunPower,SPR-X21-335-C-AC,36,SunPower,SPR-X21-335-C-AC,36,42363,,12.06,13866,POINT (-72.32933 41.06112)
212445,,Queens,Queens,NY,11436,Residential,Consolidated Edison,Purchase,09/14/2019,10/30/2019,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [208V],10,LG Electronics Inc.,LG335N1C-A5,10,11825.5,1005,3.35,3221,POINT (-73.796836 40.675692)
187232,,Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,05/24/2019,07/08/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],30,Trina Solar,TSM-305DD05A.05(II),30,34585.3,,9.15,10993,POINT (-73.460296 40.682417)
142727,,Holdbrook,Suffolk,NY,11741,Residential,Long Island Power Authority,Purchase,08/20/2018,09/18/2018,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies Ltd.,SE10000H-US [240V],1,Silfab,SLG370M,27,35966.7,,9.99,10600,POINT (-73.072068 40.797268)
253577,,Bronx,Bronx,NY,10465,Residential,Consolidated Edison,Purchase,07/10/2020,08/31/2020,Complete,Venture Home Solar LLC,Enphase Energy Inc.,IQ7-60-x-US [240V],13,LG Electronics Inc.,LG350N1C-V5,13,21157.5,910,4.55,5915,POINT (-73.820974 40.825915)
39448,4704-70252,Holbrook,Suffolk,NY,11741,Residential,Long Island Power Authority,Power Purchase Agreement,07/31/2015,11/10/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-6000-OUTD-US-Z-A (240V),1,Canadian Solar,CS6P-250PX,29,40600,914,7.25,9558,POINT (-73.072068 40.797268)
63813,5321-96593YY,East Moriches,Suffolk,NY,11940,Residential,Long Island Power Authority,Purchase,04/25/2016,01/25/2017,Complete,Long Island Power Solutions,Enphase Energy,M215-60-2LL-S2X,25,Hyundai Heavy Industries,HiS-S260MG,25,25170,962,6.5,5971,POINT (-72.755576 40.810652)
257181,,Holbrook,Suffolk,NY,11741,Residential,Long Island Power Authority,Purchase,08/04/2020,09/14/2020,Complete,NY State Solar (dba for NYSS LLC),Enphase Energy Inc.,IQ7-60-x-ACM-US [240V],33,Hanwha Q CELLS,Q.PEAK DUO BLK-G6+ 340,33,39333.37,,11.22,11522,POINT (-73.072068 40.797268)
67846,,Oakdale,Suffolk,NY,11769,Residential,Long Island Power Authority,Purchase,09/08/2016,01/04/2017,Complete,"SuNation Solar Systems, Inc.",SolarEdge Technologies,SE 10000A-US (240V),1,LG Electronics,LG315N1C-G4,33,36194,,10.4,11644,POINT (-73.131017 40.739354)
188808,,Oakdale,Suffolk,NY,11769,Residential,Long Island Power Authority,Purchase,06/17/2019,07/11/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],26,"S-Energy Co., Ltd.",SN360M-10,26,34002.66,,9.36,10141,POINT (-73.131017 40.739354)
47973,4704-101554,Warwick,Orange,NY,10990,Residential,Orange and Rockland Utilities,Power Purchase Agreement,07/26/2016,10/02/2016,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,12,14508,786,3.12,3687,POINT (-74.365461 41.263165)
180422,,Queens,Queens,NY,11435,Residential,Consolidated Edison,Lease,04/10/2019,05/10/2019,Complete,SunRun Inc.,SMA America,SB3.0-1SP-US-40 [240V],1,LG Electronics Inc.,LG360Q1C-A5,10,17529,540,3.6,2431,POINT (-73.810107 40.701344)
95617,,Valley Stream,Nassau,NY,11580,Residential,Long Island Power Authority,Purchase,10/05/2017,01/26/2018,Complete,Grid City Electric Corp,SolarEdge Technologies,SE5000H-US (240),1,Silfab,SLA300M,20,21000,,6,6985,POINT (-73.704051 40.674737)
41519,4704-73347,Patchogue,Suffolk,NY,11772,Residential,Long Island Power Authority,Power Purchase Agreement,09/17/2015,12/18/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.0-OUTD-S-US-Z-A (240V),1,Hanwha Q-Cells,Q.PRO-G4/SC 265,13,19360.9,475,3.45,4480,POINT (-72.995552 40.76922)
35077,4704-64818,Riverhead,Suffolk,NY,11901,Residential,Long Island Power Authority,Power Purchase Agreement,05/18/2015,08/24/2015,Complete,Tesla Energy Operations Inc.,ABB,PVI-3.6-OUTD-S-US-Z-A (240V),1,Trina Solar,TSM-260PD05.18,19,27664,524,4.94,3670,POINT (-72.64848 40.932807)
62035,4944-92100,Bay Shore,Suffolk,NY,11706,Residential,Long Island Power Authority,Lease,03/03/2016,01/06/2017,Complete,SunRun Inc.,Enphase Energy,M250-60-2LL-S2X (-ZC) (-NA) (240V),23,Canadian Solar,CS6P-265P,23,12353,890,6.1,5554,POINT (-73.255404 40.729218)
99981,,Westbury,Nassau,NY,11590,Residential,Long Island Power Authority,Purchase,09/25/2017,04/18/2018,Complete,Grid City Electric Corp,SolarEdge Technologies Ltd.,SE10000A-US [240V],1,Canadian Solar Inc.,CS6K-300MS,36,35640,,10.8,12605,POINT (-73.575268 40.75606)
42561,5320-76451,Elmont,Nassau,NY,11003,Residential,Long Island Power Authority,Lease,11/09/2015,07/26/2016,Complete,Sunnova Energy Corp.,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.08,17,13924.04,884,4.42,5323,POINT (-73.705417 40.699473)
187009,,East Meadow,Nassau,NY,11554,Residential,Long Island Power Authority,Purchase,05/24/2019,07/11/2019,Complete,"SuNation Solar Systems, Inc.",Enphase Energy Inc.,IQ7PLUS-72-x-US [240V],13,Solaria Corporation,Solaria PowerXT-360R-PD,13,21286.2,,4.68,5978,POINT (-73.556907 40.716032)
9929,5159-90347,Farmingdale,Nassau,NY,11735,Residential,Long Island Power Authority,Power Purchase Agreement,03/07/2016,05/18/2016,Complete,Level Solar,SolarEdge Technologies,SE3800 (240V) w/ -ER-US or A-US,1,LG Electronics Solar Cell Division,LG285S1C-G4,8,11124.12,456,2.28,2629,POINT (-73.436991 40.727443)
75974,,Staten Island,Richmond,NY,10306,Residential,Consolidated Edison,Lease,12/03/2016,03/16/2017,Complete,SunRun Inc.,SolarEdge Technologies,SE3000 (240V) w/ -ER-US or A-US,1,Trina Solar,TSM-260PD05.08,8,7396.48,657,2.08,2211,POINT (-74.11862 40.568821)
104464,,Red Hook,Dutchess,NY,12571,Residential,Central Hudson Gas and Electric,Purchase,11/18/2017,02/13/2018,Complete,Hudson Solar,SunPower,SPR-X20-250-BLK-B-AC (240V),8,SunPower,SPR-X20-250-BLK-B-AC,8,11700,525,2,1807,POINT (-73.820812 42.00281)
271612,,Brooklyn,New York,NY,11219,Residential,Consolidated Edison,Purchase,10/22/2020,11/24/2020,Complete,Amergy Solar Inc.,SolarEdge Technologies Ltd.,SE3800H-US [240V],1,Hanwha Q CELLS,Q.PEAK DUO BLK-G5 320,14,27020,896,4.48,4296,POINT (-73.99708 40.6326)
7465,4493-64871-GJ,Massapequa,Nassau,NY,11758,Residential,Long Island Power Authority,Purchase,06/23/2015,12/11/2015,Complete,Direct Energy Solar (formerly Astrum),Enphase Energy,M215-60-2LL-S2X-IG,23,Kyocera Solar,KD260GX-LFB2,23,25198,933,5.98,6859,POINT (-73.460296 40.682417)
79170,,Oceanside,Nassau,NY,11572,Residential,Long Island Power Authority,Purchase,03/13/2017,06/28/2017,Complete,Grid City Electric Corp,SolarEdge Technologies,SE6000 (240V) w/ -ER-US or A-US,1,Hyundai Heavy Industries Green Energy Co.,HiS-S280RG(BK),26,25480,,7.28,8493,POINT (-73.637997 40.635636)
